t,semaforoV2_se_—_rojo,semaforoV2_se_—_verde,semaforoV2_se_—_t_restante,boton_pwm_cs_—_salida
6.550,1.0000,0.0000,30.0000,0.0000
6.600,1.0000,0.0000,30.0000,0.0000
6.650,1.0000,0.0000,30.0000,0.0000
6.700,1.0000,0.0000,30.0000,0.0000
6.750,1.0000,0.0000,30.0000,0.0000
6.800,1.0000,0.0000,30.0000,0.0000
6.850,1.0000,0.0000,30.0000,0.0000
6.900,1.0000,0.0000,30.0000,0.0000
6.950,1.0000,0.0000,30.0000,0.0000
7.000,1.0000,0.0000,30.0000,0.0000
7.050,1.0000,0.0000,30.0000,0.0000
7.100,1.0000,0.0000,30.0000,0.0000
7.150,1.0000,0.0000,30.0000,0.0000
7.200,1.0000,0.0000,30.0000,0.0000
7.250,1.0000,0.0000,30.0000,0.0000
7.300,1.0000,0.0000,30.0000,0.0000
7.350,1.0000,0.0000,30.0000,0.0000
7.400,1.0000,0.0000,30.0000,0.0000
7.450,1.0000,0.0000,30.0000,0.0000
7.500,1.0000,0.0000,30.0000,0.0000
7.550,1.0000,0.0000,30.0000,0.0000
7.600,1.0000,0.0000,30.0000,0.0000
7.650,1.0000,0.0000,30.0000,0.0000
7.700,1.0000,0.0000,30.0000,0.0000
7.750,1.0000,0.0000,30.0000,0.0000
7.800,1.0000,0.0000,30.0000,0.0000
7.850,1.0000,0.0000,30.0000,0.0000
7.900,1.0000,0.0000,30.0000,0.0000
7.950,1.0000,0.0000,30.0000,0.0000
8.000,1.0000,0.0000,30.0000,0.0000
8.050,1.0000,0.0000,30.0000,1.0000
8.100,1.0000,0.0000,11.9500,1.0000
8.150,1.0000,0.0000,11.9500,1.0000
8.200,1.0000,0.0000,11.9500,1.0000
8.250,1.0000,0.0000,11.9500,1.0000
8.300,1.0000,0.0000,11.9500,1.0000
8.350,1.0000,0.0000,11.9500,1.0000
8.400,1.0000,0.0000,11.9500,1.0000
8.450,1.0000,0.0000,11.9500,1.0000
8.500,1.0000,0.0000,11.9500,1.0000
8.550,1.0000,0.0000,11.9500,1.0000
8.600,1.0000,0.0000,11.9500,1.0000
8.650,1.0000,0.0000,11.9500,1.0000
8.700,1.0000,0.0000,11.9500,1.0000
8.750,1.0000,0.0000,11.9500,1.0000
8.800,1.0000,0.0000,11.9500,1.0000
8.850,1.0000,0.0000,11.9500,1.0000
8.900,1.0000,0.0000,11.9500,1.0000
8.950,1.0000,0.0000,11.9500,1.0000
9.000,1.0000,0.0000,11.9500,1.0000
9.050,1.0000,0.0000,11.9500,1.0000
9.100,1.0000,0.0000,11.9500,1.0000
9.150,1.0000,0.0000,11.9500,1.0000
9.200,1.0000,0.0000,11.9500,1.0000
9.250,1.0000,0.0000,11.9500,1.0000
9.300,1.0000,0.0000,11.9500,1.0000
9.350,1.0000,0.0000,11.9500,1.0000
9.400,1.0000,0.0000,11.9500,1.0000
9.450,1.0000,0.0000,11.9500,1.0000
9.500,1.0000,0.0000,11.9500,1.0000
9.550,1.0000,0.0000,11.9500,1.0000
9.600,1.0000,0.0000,11.9500,1.0000
9.650,1.0000,0.0000,11.9500,1.0000
9.700,1.0000,0.0000,11.9500,1.0000
9.750,1.0000,0.0000,11.9500,1.0000
9.800,1.0000,0.0000,11.9500,1.0000
9.850,1.0000,0.0000,11.9500,1.0000
9.900,1.0000,0.0000,11.9500,1.0000
9.950,1.0000,0.0000,11.9500,1.0000
10.000,1.0000,0.0000,11.9500,0.0000
10.050,1.0000,0.0000,10.0000,0.0000
10.100,1.0000,0.0000,10.0000,0.0000
10.150,1.0000,0.0000,10.0000,0.0000
10.200,1.0000,0.0000,10.0000,0.0000
10.250,1.0000,0.0000,10.0000,0.0000
10.300,1.0000,0.0000,10.0000,0.0000
10.350,1.0000,0.0000,10.0000,0.0000
10.400,1.0000,0.0000,10.0000,0.0000
10.450,1.0000,0.0000,10.0000,0.0000
10.500,1.0000,0.0000,10.0000,0.0000
10.550,1.0000,0.0000,10.0000,0.0000
10.600,1.0000,0.0000,10.0000,0.0000
10.650,1.0000,0.0000,10.0000,0.0000
10.700,1.0000,0.0000,10.0000,0.0000
10.750,1.0000,0.0000,10.0000,0.0000
10.800,1.0000,0.0000,10.0000,0.0000
10.850,1.0000,0.0000,10.0000,0.0000
10.900,1.0000,0.0000,10.0000,0.0000
10.950,1.0000,0.0000,10.0000,0.0000
11.000,1.0000,0.0000,10.0000,0.0000
11.050,1.0000,0.0000,10.0000,0.0000
11.100,1.0000,0.0000,10.0000,0.0000
11.150,1.0000,0.0000,10.0000,0.0000
11.200,1.0000,0.0000,10.0000,0.0000
11.250,1.0000,0.0000,10.0000,0.0000
11.300,1.0000,0.0000,10.0000,0.0000
11.350,1.0000,0.0000,10.0000,0.0000
11.400,1.0000,0.0000,10.0000,0.0000
11.450,1.0000,0.0000,10.0000,0.0000
11.500,1.0000,0.0000,10.0000,0.0000
11.550,1.0000,0.0000,10.0000,0.0000
11.600,1.0000,0.0000,10.0000,0.0000
11.650,1.0000,0.0000,10.0000,0.0000
11.700,1.0000,0.0000,10.0000,0.0000
11.750,1.0000,0.0000,10.0000,0.0000
11.800,1.0000,0.0000,10.0000,0.0000
11.850,1.0000,0.0000,10.0000,0.0000
11.900,1.0000,0.0000,10.0000,0.0000
11.950,1.0000,0.0000,10.0000,0.0000
12.000,1.0000,0.0000,10.0000,0.0000
12.050,1.0000,0.0000,10.0000,0.0000
12.100,1.0000,0.0000,10.0000,0.0000
12.150,1.0000,0.0000,10.0000,0.0000
12.200,1.0000,0.0000,10.0000,0.0000
12.250,1.0000,0.0000,10.0000,0.0000
12.300,1.0000,0.0000,10.0000,0.0000
12.350,1.0000,0.0000,10.0000,0.0000
12.400,1.0000,0.0000,10.0000,0.0000
12.450,1.0000,0.0000,10.0000,0.0000
12.500,1.0000,0.0000,10.0000,0.0000
12.550,1.0000,0.0000,10.0000,0.0000
12.600,1.0000,0.0000,10.0000,0.0000
12.650,1.0000,0.0000,10.0000,0.0000
12.700,1.0000,0.0000,10.0000,0.0000
12.750,1.0000,0.0000,10.0000,0.0000
12.800,1.0000,0.0000,10.0000,0.0000
12.850,1.0000,0.0000,10.0000,0.0000
12.900,1.0000,0.0000,10.0000,0.0000
12.950,1.0000,0.0000,10.0000,0.0000
13.000,1.0000,0.0000,10.0000,0.0000
13.050,1.0000,0.0000,10.0000,0.0000
13.100,1.0000,0.0000,10.0000,0.0000
13.150,1.0000,0.0000,10.0000,0.0000
13.200,1.0000,0.0000,10.0000,0.0000
13.250,1.0000,0.0000,10.0000,0.0000
13.300,1.0000,0.0000,10.0000,0.0000
13.350,1.0000,0.0000,10.0000,0.0000
13.400,1.0000,0.0000,10.0000,0.0000
13.450,1.0000,0.0000,10.0000,0.0000
13.500,1.0000,0.0000,10.0000,0.0000
13.550,1.0000,0.0000,10.0000,0.0000
13.600,1.0000,0.0000,10.0000,0.0000
13.650,1.0000,0.0000,10.0000,0.0000
13.700,1.0000,0.0000,10.0000,0.0000
13.750,1.0000,0.0000,10.0000,0.0000
13.800,1.0000,0.0000,10.0000,0.0000
13.850,1.0000,0.0000,10.0000,0.0000
13.900,1.0000,0.0000,10.0000,0.0000
13.950,1.0000,0.0000,10.0000,0.0000
14.000,1.0000,0.0000,10.0000,0.0000
14.050,1.0000,0.0000,10.0000,0.0000
14.100,1.0000,0.0000,10.0000,0.0000
14.150,1.0000,0.0000,10.0000,0.0000
14.200,1.0000,0.0000,10.0000,0.0000
14.250,1.0000,0.0000,10.0000,0.0000
14.300,1.0000,0.0000,10.0000,0.0000
14.350,1.0000,0.0000,10.0000,0.0000
14.400,1.0000,0.0000,10.0000,0.0000
14.450,1.0000,0.0000,10.0000,0.0000
14.500,1.0000,0.0000,10.0000,0.0000
14.550,1.0000,0.0000,10.0000,0.0000
14.600,1.0000,0.0000,10.0000,0.0000
14.650,1.0000,0.0000,10.0000,0.0000
14.700,1.0000,0.0000,10.0000,0.0000
14.750,1.0000,0.0000,10.0000,0.0000
14.800,1.0000,0.0000,10.0000,0.0000
14.850,1.0000,0.0000,10.0000,0.0000
14.900,1.0000,0.0000,10.0000,0.0000
14.950,1.0000,0.0000,10.0000,0.0000
15.000,1.0000,0.0000,10.0000,0.0000
15.050,1.0000,0.0000,10.0000,0.0000
15.100,1.0000,0.0000,10.0000,0.0000
15.150,1.0000,0.0000,10.0000,0.0000
15.200,1.0000,0.0000,10.0000,0.0000
15.250,1.0000,0.0000,10.0000,0.0000
15.300,1.0000,0.0000,10.0000,0.0000
15.350,1.0000,0.0000,10.0000,0.0000
15.400,1.0000,0.0000,10.0000,0.0000
15.450,1.0000,0.0000,10.0000,0.0000
15.500,1.0000,0.0000,10.0000,0.0000
15.550,1.0000,0.0000,10.0000,0.0000
15.600,1.0000,0.0000,10.0000,0.0000
15.650,1.0000,0.0000,10.0000,0.0000
15.700,1.0000,0.0000,10.0000,0.0000
15.750,1.0000,0.0000,10.0000,0.0000
15.800,1.0000,0.0000,10.0000,0.0000
15.850,1.0000,0.0000,10.0000,0.0000
15.900,1.0000,0.0000,10.0000,0.0000
15.950,1.0000,0.0000,10.0000,0.0000
16.000,1.0000,0.0000,10.0000,0.0000
16.050,1.0000,0.0000,10.0000,0.0000
16.100,1.0000,0.0000,10.0000,0.0000
16.150,1.0000,0.0000,10.0000,0.0000
16.200,1.0000,0.0000,10.0000,0.0000
16.250,1.0000,0.0000,10.0000,0.0000
16.300,1.0000,0.0000,10.0000,0.0000
16.350,1.0000,0.0000,10.0000,0.0000
16.400,1.0000,0.0000,10.0000,0.0000
16.450,1.0000,0.0000,10.0000,0.0000
16.500,1.0000,0.0000,10.0000,0.0000
16.550,1.0000,0.0000,10.0000,0.0000
16.600,1.0000,0.0000,10.0000,0.0000
16.650,1.0000,0.0000,10.0000,0.0000
16.700,1.0000,0.0000,10.0000,0.0000
16.750,1.0000,0.0000,10.0000,0.0000
16.800,1.0000,0.0000,10.0000,0.0000
16.850,1.0000,0.0000,10.0000,0.0000
16.900,1.0000,0.0000,10.0000,0.0000
16.950,1.0000,0.0000,10.0000,0.0000
17.000,1.0000,0.0000,10.0000,0.0000
17.050,1.0000,0.0000,10.0000,0.0000
17.100,1.0000,0.0000,10.0000,0.0000
17.150,1.0000,0.0000,10.0000,0.0000
17.200,1.0000,0.0000,10.0000,0.0000
17.250,1.0000,0.0000,10.0000,0.0000
17.300,1.0000,0.0000,10.0000,0.0000
17.350,1.0000,0.0000,10.0000,0.0000
17.400,1.0000,0.0000,10.0000,0.0000
17.450,1.0000,0.0000,10.0000,0.0000
17.500,1.0000,0.0000,10.0000,0.0000
17.550,1.0000,0.0000,10.0000,0.0000
17.600,1.0000,0.0000,10.0000,0.0000
17.650,1.0000,0.0000,10.0000,0.0000
17.700,1.0000,0.0000,10.0000,0.0000
17.750,1.0000,0.0000,10.0000,0.0000
17.800,1.0000,0.0000,10.0000,0.0000
17.850,1.0000,0.0000,10.0000,0.0000
17.900,1.0000,0.0000,10.0000,0.0000
17.950,1.0000,0.0000,10.0000,0.0000
18.000,1.0000,0.0000,10.0000,0.0000
18.050,1.0000,0.0000,10.0000,0.0000
18.100,1.0000,0.0000,10.0000,0.0000
18.150,1.0000,0.0000,10.0000,0.0000
18.200,1.0000,0.0000,10.0000,0.0000
18.250,1.0000,0.0000,10.0000,0.0000
18.300,1.0000,0.0000,10.0000,0.0000
18.350,1.0000,0.0000,10.0000,0.0000
18.400,1.0000,0.0000,10.0000,0.0000
18.450,1.0000,0.0000,10.0000,0.0000
18.500,1.0000,0.0000,10.0000,0.0000
18.550,1.0000,0.0000,10.0000,0.0000
18.600,1.0000,0.0000,10.0000,0.0000
18.650,1.0000,0.0000,10.0000,0.0000
18.700,1.0000,0.0000,10.0000,0.0000
18.750,1.0000,0.0000,10.0000,0.0000
18.800,1.0000,0.0000,10.0000,0.0000
18.850,1.0000,0.0000,10.0000,0.0000
18.900,1.0000,0.0000,10.0000,0.0000
18.950,1.0000,0.0000,10.0000,0.0000
19.000,1.0000,0.0000,10.0000,0.0000
19.050,1.0000,0.0000,10.0000,0.0000
19.100,1.0000,0.0000,10.0000,0.0000
19.150,1.0000,0.0000,10.0000,0.0000
19.200,1.0000,0.0000,10.0000,0.0000
19.250,1.0000,0.0000,10.0000,0.0000
